StationID,Richness,Shannon Diversity Index,% Intolerant Mayfly (PTV) 0-4,% Dominant Taxon,Riffle Frequency,Riparian Vegetative Zone,Total Habitat Score,Total Watershed Area (sq miles)
20160510-1130-smeans,30,2.897375,18.91891892,16.21622,18,20,212,5.09075485
20160505-1330-smeans,33,2.998117,27.94759825,16.59389,19,17,213,7.70424069
20160516-1130-rspear,23,2.255239,14.75409836,27.86885,20,20,215,8.68399384
20160509-1130-smeans,27,2.550172,34.90566038,22.64151,19,19,217,2.52696037
20160509-1200-smeans,33,3.034347,25.11848341,15.63981,19,20,222,2.2057042
20160525-1017-gawalters,1,0,0,100,20,20,227,12.48972403
20160608-1100-jaygerber,7,0.791375,0,75.25773,9,8,114,9.97892204
20160608-1030-jaygerber,10,1.070364,0,67.82178,9,8,114,10.00237773
20160601-0915-jaygerber,19,2.023739,1.38888889,29.16667,16,12,133,1.1885957
20160601-1030-jaygerber,19,1.762072,0.44247788,32.74336,16,13,141,1.15575773
20160607-1000-jaygerber,17,1.812925,0,44.49541,16,13,150,2.38692116
20160614-1130-jbrancato,11,1.541509,0,36.1809,16,13,174,2.3162066
20160621-1130-josecocco,27,2.133438,8.41584158,37.12871,19,17,223,6.42112724
20160719-1100-jaygerber,12,1.28841,0,63.86139,12,15,140,2.14141822
20160713-1015-tdaley,23,2.103374,0.42735043,31.62393,19,16,198,7.18387173
20160810-1350-sunger,7,1.060353,0,67.17172,9,10,130,6.50991138
20160810-1450-sunger,12,1.426754,0,57.21393,11,13,133,4.90554174
20160810-1130-sunger,18,2.103755,0,32.25806,13,15,143,9.98187572
20160810-1050-sunger,14,2.057873,0,29.12621,17,13,155,10.10384533
20160829-1015-ebendick,21,2.278961,19.44444444,35.55556,20,18,206,4.79312814
20161025-0945-smeans,19,2.008598,0.96153846,40.86538,18,12,168,20.74439172
20161025-1040-smeans,15,1.578003,1.39534884,40,16,17,177,20.79373556
20161025-1145-smeans,13,1.649111,0.46948357,47.41784,17,15,200,22.9443623
20161109-1200-tdaley,32,2.385392,11.60714286,42.85714,6,10,135,1.41064296
20161117-1030-smeans,30,2.785485,26.28865979,14.43299,19,14,186,5.08154633
20161117-1200-smeans,38,2.978384,35.8490566,15.56604,19,14,186,11.70890995
20161117-1130-smeans,32,2.749426,51.56950673,15.69507,18,19,203,24.38645333
